"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
1211070,"05586","W9403","Grivla (5586)",28-8-2009 21:00:37,28-8-2009 22:00:37,14.82,61.51,443.27,6823142.95,1447857.98,411.08,5.00,"3D",5,"Yes",3.38,3.58,20.00,2,"F"
1211071,"05586","W9403","Grivla (5586)",28-8-2009 21:30:49,28-8-2009 22:30:49,14.82,61.51,437.06,6823135.30,1447871.40,404.87,2.20,"3D",7,"Yes",3.38,3.58,22.00,2,"F"
1211072,"05586","W9403","Grivla (5586)",28-8-2009 22:00:12,28-8-2009 23:00:12,14.82,61.51,422.78,6823134.31,1447876.08,390.59,3.20,"3D",6,"Yes",3.40,3.60,20.00,2,"F"
1211073,"05586","W9403","Grivla (5586)",28-8-2009 22:31:20,28-8-2009 23:31:20,14.82,61.51,426.30,6823129.94,1447873.51,394.11,3.00,"3D",5,"Yes",3.38,3.58,20.00,2,"F"
1211074,"05586","W9403","Grivla (5586)",28-8-2009 23:00:35,29-8-2009 0:00:35,14.82,61.51,448.67,6823135.30,1447842.94,416.48,1.80,"3D",5,"Yes",3.38,3.58,20.00,2,"F"
1211075,"05586","W9403","Grivla (5586)",28-8-2009 23:31:05,29-8-2009 0:31:05,14.82,61.51,441.67,6823118.64,1447857.33,409.48,6.80,"3D",4,"Yes",3.38,3.60,22.00,2,"F"
1211076,"05586","W9403","Grivla (5586)",29-8-2009 0:01:03,29-8-2009 1:01:03,14.82,61.51,414.30,6823114.57,1447856.67,382.11,2.20,"3D",4,"Yes",3.38,3.60,22.00,2,"F"
1211077,"05586","W9403","Grivla (5586)",29-8-2009 0:32:40,29-8-2009 1:32:40,14.82,61.51,415.53,6823116.92,1447829.07,383.34,4.20,"3D",4,"No",3.38,3.58,21.00,2,"F"
1211078,"05586","W9403","Grivla (5586)",29-8-2009 1:00:53,29-8-2009 2:00:53,14.82,61.51,426.59,6823115.09,1447850.06,394.40,3.00,"3D",5,"Yes",3.40,3.60,21.00,2,"F"
1211079,"05586","W9403","Grivla (5586)",29-8-2009 1:31:02,29-8-2009 2:31:02,14.82,61.51,437.76,6823119.82,1447839.43,405.57,2.40,"3D",5,"Yes",3.40,3.60,21.00,2,"F"
1211080,"05586","W9403","Grivla (5586)",29-8-2009 2:00:39,29-8-2009 3:00:39,14.82,61.51,423.87,6823122.21,1447849.06,391.68,4.80,"3D",4,"Yes",3.40,3.60,23.00,2,"F"
1211081,"05586","W9403","Grivla (5586)",29-8-2009 2:31:08,29-8-2009 3:31:08,14.82,61.51,425.92,6823120.52,1447850.45,393.73,2.60,"3D",6,"Yes",3.40,3.60,24.00,2,"F"
1211082,"05586","W9403","Grivla (5586)",29-8-2009 3:02:18,29-8-2009 4:02:18,14.82,61.51,425.85,6823110.05,1447857.20,393.66,3.20,"3D",5,"Yes",3.38,3.60,22.00,2,"F"
1211083,"05586","W9403","Grivla (5586)",29-8-2009 3:30:47,29-8-2009 4:30:47,14.82,61.51,414.52,6823129.21,1447833.29,382.33,3.60,"3D",6,"Yes",3.40,3.60,21.00,2,"F"
